run_name,split,shape_class,source_csv,mean_norm_l2,diag_mae,offdiag_mean_abs_corr,eig_ratio,kl_moment_to_std_normal,w2_moment_to_std_normal,eig_log_abs,n01_abs_gap,z_kl,z_w2,z_diag,z_eig_log_abs,n01_robust_gap,n01_similarity
lsv_stage2_vae_base_ld64_b0p1_s48_logvfixv2,test,moderate,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_test_stage2_beta0p1_logvarfix_10seeds_v2/latent_shape_summary.csv,0.4181131292103056,0.15348340166334112,0.050402042402580366,7.863171009229892,2.387663699017881,3.2095516531618347,2.062189961371367,6.189504543354227,-0.50442178514757,-0.5224046829980037,-0.7810228854244506,-0.7447711899456743,-1.6035307083442176,0.832511272016681
lsv_stage3_vae_base_ld32_fmtB_b0p1_lmax6_s43,test,moderate,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_test_stage3_ld32_formats_v1/latent_shape_summary.csv,0.4568735422400919,0.20524728972832246,0.1430729895029208,8.66020667876333,2.477771531180971,3.416673384686201,2.158738588197563,6.536753207780725,-0.49646424230447506,-0.5104109329838757,-0.6580196320641308,-0.6744907594765952,-1.504507681189565,0.8182458186701725
lsv_stage3_vae_base_ld32_fmtA_b0p1_lmax8_s44,test,moderate,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_test_stage3_ld32_formats_v1/latent_shape_summary.csv,0.43507130247473425,0.2880249529910074,0.16321585397469496,10.506505919497322,3.3974130735502435,4.781676305765738,2.3519946766643,8.911100524977561,-0.41524947109071386,-0.4313680257838823,-0.46132030619252146,-0.5338142782599044,-1.2107312195358328,0.7704283043458983
lsv_stage3_vae_base_ld32_fmtA_b0p1_lmax8_s43,test,moderate,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_test_stage3_ld32_formats_v1/latent_shape_summary.csv,0.33385793750304754,0.31043021938910165,0.18144963785158885,10.727102876809836,3.6581120599144934,5.072449155223939,2.3727735180242155,9.478969704339038,-0.3922267958876287,-0.4145303099071827,-0.4080800886897205,-0.5186887817776765,-1.1404693455840909,0.7577658009957864
lsv_stage2_vae_base_ld64_b0p1_s45_logvfixv2,test,moderate,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_test_stage2_beta0p1_logvarfix_10seeds_v2/latent_shape_summary.csv,0.39600652763482813,0.2819092294134852,0.1019174640773494,16.985805992965783,6.286849177166167,9.265127966121696,2.8323780537080965,16.40102627142163,-0.16007951488431893,-0.1717458315361949,-0.47585271333595924,-0.1841298587227484,-0.6157841677691807,0.6492591171686698
lsv_stage2_vae_base_ld64_b0p1_s51_logvfixv2,test,moderate,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_test_stage2_beta0p1_logvarfix_10seeds_v2/latent_shape_summary.csv,0.5316680890364621,0.28673792787951324,0.14400505761311272,19.97378597791946,7.303701844433958,10.878202172564393,2.994420712729966,19.0738781591206,-0.07027989957170848,-0.07833791801633536,-0.46437858256603265,-0.06617450083959309,-0.39735073408095845,0.5980509794193853
lsv_stage2_vae_base_ld64_b0p1_s49_logvfixv2,test,moderate,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_test_stage2_beta0p1_logvarfix_10seeds_v2/latent_shape_summary.csv,0.30752396117666536,0.28237039379043977,0.12739603526105261,21.04938692830378,7.625745848095468,11.406823181172076,3.0468714351581236,19.93547208495229,-0.04183976406983589,-0.04772718401563552,-0.4747568775937118,-0.02799416133770681,-0.33394392721675403,0.5827186845119707
lsv_stage3_vae_base_ld32_fmtA_b0p1_lmax8_s42,test,distorted,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_test_stage3_ld32_formats_v1/latent_shape_summary.csv,0.23148737385045254,0.4821639862237338,0.26789978766954087,18.959592817565355,6.588448554913588,9.748214308074177,2.94231002072946,17.313322361281998,-0.1334448715657225,-0.14377186290443897,0.0,-0.10410732273699852,-0.3032435651544111,0.5752352411676112
lsv_stage2_vae_base_ld64_b0p1_s50_logvfixv2,test,moderate,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_test_stage2_beta0p1_logvarfix_10seeds_v2/latent_shape_summary.csv,0.3469987118823006,0.3007339516360001,0.13250111264968303,21.381361544194952,8.099521549073255,12.23103053770828,3.0625195866466246,21.246548959261194,0.0,0.0,-0.43112071650320777,-0.016603436696568635,-0.21971121742574604,0.5547079049042796
lsv_stage3_vae_base_ld32_fmtB_b0p1_lmax6_s44,test,distorted,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_test_stage3_ld32_formats_v1/latent_shape_summary.csv,0.21568065108259335,0.5342712014973352,0.22337000299603127,21.87465732540616,6.917400018672303,10.261377522866233,3.085328766996689,18.217245334036377,-0.10439472904957627,-0.11405623978095165,0.12381908009215983,0.0,-0.156541428784448,0.5390556341787608
lsv_stage2_vae_base_ld64_b0p1_s44_logvfixv2,test,moderate,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_test_stage2_beta0p1_logvarfix_10seeds_v2/latent_shape_summary.csv,0.3137650609389769,0.3748136286867833,0.18968818289596132,23.968051720055964,9.004877635675548,13.209208022278693,3.1767217652119855,23.195672913600628,0.0799532035612054,0.05664309646815538,-0.25508986515584686,0.06652750502597563,0.02568324370793127,0.49357954199583226
